agentID	identifier	identifierType	identifierLanguage
https://orcid.org/0000-0002-9870-1256	https://orcid.org/0000-0002-9870-1256	ORCID	eng
https://orcid.org/0000-0002-2042-5095	https://orcid.org/0000-0002-2042-5095	ORCID	eng
https://orcid.org/0000-0002-6947-4445	https://orcid.org/0000-0002-6947-4445	ORCID	eng
https://orcid.org/0000-0002-6145-2129	https://orcid.org/0000-0002-6145-2129	ORCID	eng
https://www.researchgate.net/profile/R-Perissinotto	https://www.researchgate.net/profile/R-Perissinotto	Research Gate	eng
https://orcid.org/0000-0002-3473-8308	https://orcid.org/0000-0002-3473-8308	ORCID	eng
https://orcid.org/0000-0003-1336-5554	https://orcid.org/0000-0003-1336-5554	ORCID	eng
https://orcid.org/0000-0003-1617-5449	https://orcid.org/0000-0003-1617-5449	ORCID	eng
https://orcid.org/0000-0003-4342-4295	https://orcid.org/0000-0003-4342-4295	ORCID	eng
https://www.wikidata.org/entity/Q5765948	https://www.wikidata.org/entity/Q5765948	Wikidata QID	eng
