materialEntityID	materialEntityType	preparations	disposition	materialEntityRemarks	materialGatheringID	derivedFromMaterialEntityID	derivationType	partOfMaterialEntityID
AAV3FF_00322	whole organism	formalin	Anton		BROKE_WEST_RMT_100_8_MG			
AAV3FF_00323	whole organism	Frozen	Anton		BROKE_WEST_RMT_100_8_MG			
AAV3FF_00324	whole organism	Ethanol	Anton		BROKE_WEST_RMT_100_8_MG			
AAV3FF_00325	whole organism	Ethanol	Anton		BROKE_WEST_RMT_100_8_MG			
AAV3FF_00326	whole organism	Frozen	Anton		BROKE_WEST_RMT_101_8_MG			
AAV3FF_00327	whole organism	Frozen	Anton		BROKE_WEST_RMT_101_8_MG			
AAV3FF_00328	whole organism	formalin	Evgeny		BROKE_WEST_RMT_101_8_MG			
AAV3FF_00329	whole organism	Frozen	Anton		BROKE_WEST_RMT_101_8_MG			
AAV3FF_00330	whole organism	Frozen	Anton		BROKE_WEST_RMT_101_8_MG			
AAV3FF_00331	whole organism	formalin	Evgeny		BROKE_WEST_RMT_101_8_MG			
AAV3FF_00332	whole organism	Frozen	Anton		BROKE_WEST_RMT_101_8_MG			
AAV3FF_00333	whole organism	Ethanol	Anton		BROKE_WEST_RMT_101_8_MG			
AAV3FF_00334	whole organism	Ethanol	Anton		BROKE_WEST_RMT_101_8_MG			
AAV3FF_00335	whole organism	Frozen	Anton		BROKE_WEST_RMT_102_8_MG			
AAV3FP_00026	whole organism				BROKE_WEST_RMT_102_8_MG			
AAV3FF_00336	whole organism	formalin			BROKE_WEST_RMT_105_8_MG			
AAV3FF_00337	whole organism	formalin			BROKE_WEST_RMT_105_8_MG			
AAV3FF_00338	whole organism	formalin			BROKE_WEST_RMT_105_8_MG			
AAV3FF_00339	whole organism	Ethanol			BROKE_WEST_RMT_105_8_MG			
AAV3FF_00340	whole organism	Ethanol			BROKE_WEST_RMT_105_8_MG			
AAV3FF_00341	whole organism	Ethanol			BROKE_WEST_RMT_105_8_MG			
AAV3FF_00342	whole organism	Ethanol			BROKE_WEST_RMT_105_8_MG			
AAV3FF_00343	whole organism	Ethanol			BROKE_WEST_RMT_105_8_MG			
AAV3FF_00344	whole organism				BROKE_WEST_RMT_106_8_MG			
AAV3FF_00345	whole organism				BROKE_WEST_RMT_106_8_MG			
AAV3FF_00346	whole organism				BROKE_WEST_RMT_106_8_MG			
AAV3FF_00347	whole organism				BROKE_WEST_RMT_107_1_MG			
AAV3FF_00348	whole organism				BROKE_WEST_RMT_107_8_MG			
AAV3FF_00349	whole organism				BROKE_WEST_RMT_107_8_MG			
AAV3FF_00350	whole organism				BROKE_WEST_RMT_107_8_MG			
AAV3FF_00351	whole organism				BROKE_WEST_RMT_107_8_MG			
AAV3FF_00352	whole organism				BROKE_WEST_RMT_107_8_MG			
AAV3FF_00353	whole organism				BROKE_WEST_RMT_107_8_MG			
AAV3FF_00354	whole organism				BROKE_WEST_RMT_107_8_MG			
AAV3FF_00355	whole organism				BROKE_WEST_RMT_107_8_MG			
AAV3FF_00356	whole organism				BROKE_WEST_RMT_108_8_MG			
AAV3FF_00358	whole organism				BROKE_WEST_RMT_109_8_MG			
AAV3FF_00359	whole organism				BROKE_WEST_RMT_109_8_MG			
AAV3FF_00360	whole organism				BROKE_WEST_RMT_110_8_MG			
AAV3FF_00361	whole organism				BROKE_WEST_RMT_110_8_MG			
AAV3FF_00362	whole organism				BROKE_WEST_RMT_110_8_MG			
AAV3FF_00363	whole organism				BROKE_WEST_RMT_110_8_MG			
AAV3FF_00364	whole organism				BROKE_WEST_RMT_110_8_MG			
AAV3FF_00365	whole organism				BROKE_WEST_RMT_110_8_MG			
AAV3FF_00366	whole organism				BROKE_WEST_RMT_110_8_MG			
AAV3FF_00367	whole organism				BROKE_WEST_RMT_110_8_MG			
AAV3FF_00368	whole organism				BROKE_WEST_RMT_110_8_MG			
AAV3FF_00369	whole organism				BROKE_WEST_RMT_110_8_MG			
AAV3FF_00370	whole organism				BROKE_WEST_RMT_110_1_MG			
AAV3FF_00371	whole organism				BROKE_WEST_RMT_110_1_MG			
AAV3FF_00372	whole organism				BROKE_WEST_RMT_111_8_MG			
AAV3FF_00373	whole organism				BROKE_WEST_RMT_111_8_MG			
AAV3FF_00374	whole organism				BROKE_WEST_RMT_112_8_MG			
AAV3FF_00375	whole organism				BROKE_WEST_RMT_112_8_MG			
AAV3FF_00376	whole organism				BROKE_WEST_RMT_112_8_MG			
AAV3FF_00377	whole organism				BROKE_WEST_RMT_113_8_MG			
AAV3FF_00378	whole organism				BROKE_WEST_RMT_113_8_MG			
AAV3FF_00379	whole organism				BROKE_WEST_RMT_113_8_MG			
AAV3FF_00380	whole organism				BROKE_WEST_RMT_114_8_MG			
AAV3FF_00381	whole organism				BROKE_WEST_RMT_114_1_MG			
AAV3FF_00382	whole organism				BROKE_WEST_RMT_114_1_MG			
AAV3FP_00027	whole organism				BROKE_WEST_RMT_114_8_MG			
AAV3FF_00383	whole organism				BROKE_WEST_RMT_115_8_MG			
AAV3FF_00384	whole organism				BROKE_WEST_RMT_115_8_MG			
AAV3FF_00385	whole organism				BROKE_WEST_RMT_115_8_MG			
AAV3FF_00386	whole organism				BROKE_WEST_RMT_115_8_MG			
AAV3FF_00387	whole organism				BROKE_WEST_RMT_115_8_MG			
AAV3FF_00388	whole organism				BROKE_WEST_RMT_115_8_MG			
AAV3FF_00389	whole organism				BROKE_WEST_RMT_115_1_MG			
AAV3FF_00390	whole organism				BROKE_WEST_RMT_115_1_MG			
AAV3FF_00391	whole organism				BROKE_WEST_RMT_115_1_MG			
AAV3FF_00392	whole organism				BROKE_WEST_RMT_115_1_MG			
AAV3FF_00393	whole organism				BROKE_WEST_RMT_115_1_MG			
AAV3FF_00394	whole organism				BROKE_WEST_RMT_115_1_MG			
AAV3FF_00395	whole organism				BROKE_WEST_RMT_115_1_MG			
AAV3FF_00396	whole organism				BROKE_WEST_RMT_115_1_MG			
AAV3FF_00397	whole organism				BROKE_WEST_RMT_115_1_MG			
AAV3FF_00398	whole organism				BROKE_WEST_RMT_115_1_MG			
AAV3FF_00399	whole organism				BROKE_WEST_RMT_115_1_MG			
AAV3FF_00400	whole organism				BROKE_WEST_RMT_116_8_MG			
AAV3FF_00401	whole organism				BROKE_WEST_RMT_116_8_MG			
AAV3FF_00402	whole organism				BROKE_WEST_RMT_116_8_MG			
AAV3FF_00403	whole organism				BROKE_WEST_RMT_116_8_MG			
AAV3FF_00404	whole organism		Evgeny		BROKE_WEST_RMT_116_8_MG			
AAV3FF_00405	whole organism		Evgeny		BROKE_WEST_RMT_116_8_MG			
AAV3FF_00406	whole organism				BROKE_WEST_RMT_116_8_MG			
AAV3FF_00407	whole organism				BROKE_WEST_RMT_116_8_MG			
AAV3FF_00408	whole organism				BROKE_WEST_RMT_116_8_MG			
AAV3FF_00409	whole organism				BROKE_WEST_RMT_116_8_MG			
AAV3FF_00410	whole organism				BROKE_WEST_RMT_116_8_MG			
AAV3FF_00411	whole organism				BROKE_WEST_RMT_116_8_MG			
AAV3FF_00412	whole organism				BROKE_WEST_RMT_116_1_MG			
AAV3FF_00413	whole organism				BROKE_WEST_RMT_116_1_MG			
AAV3FF_00414	whole organism				BROKE_WEST_RMT_116_1_MG			
AAV3FF_00415	whole organism				BROKE_WEST_RMT_116_1_MG			
AAV3FF_00416	whole organism				BROKE_WEST_RMT_116_1_MG			
AAV3FF_00417	whole organism				BROKE_WEST_RMT_116_1_MG			
AAV3FP_00028	whole organism				BROKE_WEST_RMT_116_8_MG			
AAV3FP_00029	whole organism				BROKE_WEST_RMT_116_8_MG			
AAV3FP_00030	whole organism				BROKE_WEST_RMT_116_8_MG			
AAV3FF_00418	whole organism				BROKE_WEST_RMT_117_8_MG			
AAV3FF_00419	whole organism				BROKE_WEST_RMT_118_8_MG			
AAV3FF_00420	whole organism				BROKE_WEST_RMT_122_8_MG			
AAV3FF_00421	whole organism				BROKE_WEST_RMT_125_8_MG			
