occurrenceID	verbatimIdentification	organismQuantity	organismQuantityType	lifeStage	eventID	taxonID	taxonRank	kingdom	surveyTargetID	scientificName	occurrenceStatus	recordedBy	recordedByID	identifiedBy	identifiedByID
BROKE_WEST_RMT_007_RMT8_BROKE_WEST_RMT_007_RMT8_125471	Macrouridae	1	individuals		BROKE_WEST_RMT_007_RMT8	urn:lsid:marinespecies.org:taxname:125471	Family	Animalia	BROKE_WEST_RMT_007_RMT8_125471	Macrouridae	present	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554
BROKE_WEST_RMT_008_RMT8_BROKE_WEST_RMT_008_RMT8_217697	Electrona antarctica all	1	individuals		BROKE_WEST_RMT_008_RMT8	urn:lsid:marinespecies.org:taxname:217697	Species	Animalia	BROKE_WEST_RMT_008_RMT8_217697	Electrona antarctica	present	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554
BROKE_WEST_RMT_008_RMT8_BROKE_WEST_RMT_008_RMT8_217697_Larvae	Electrona antarctica Larvae	1	individuals	Larvae	BROKE_WEST_RMT_008_RMT8	urn:lsid:marinespecies.org:taxname:217697	Species	Animalia	BROKE_WEST_RMT_008_RMT8_217697_Larvae	Electrona antarctica	present	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554
BROKE_WEST_RMT_008_RMT8_BROKE_WEST_RMT_008_RMT8_234695	Notolepis coatsi	1	individuals		BROKE_WEST_RMT_008_RMT8	urn:lsid:marinespecies.org:taxname:234695	Species	Animalia	BROKE_WEST_RMT_008_RMT8_234695	Notolepis coatsi	present	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554
BROKE_WEST_RMT_011_RMT8_BROKE_WEST_RMT_011_RMT8_234695	Notolepis coatsi	2	individuals		BROKE_WEST_RMT_011_RMT8	urn:lsid:marinespecies.org:taxname:234695	Species	Animalia	BROKE_WEST_RMT_011_RMT8_234695	Notolepis coatsi	present	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554
BROKE_WEST_RMT_011_RMT8_BROKE_WEST_RMT_011_RMT8_234721	Pleuragramma antarcticum	1	individuals		BROKE_WEST_RMT_011_RMT8	urn:lsid:marinespecies.org:taxname:234721	Species	Animalia	BROKE_WEST_RMT_011_RMT8_234721	Pleuragramma antarcticum	present	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554
BROKE_WEST_RMT_017_RMT8_BROKE_WEST_RMT_017_RMT8_234695	Notolepis coatsi	2	individuals		BROKE_WEST_RMT_017_RMT8	urn:lsid:marinespecies.org:taxname:234695	Species	Animalia	BROKE_WEST_RMT_017_RMT8_234695	Notolepis coatsi	present	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554
BROKE_WEST_RMT_020_RMT8_BROKE_WEST_RMT_020_RMT8_234721	Pleuragramma antarcticum	1	individuals		BROKE_WEST_RMT_020_RMT8	urn:lsid:marinespecies.org:taxname:234721	Species	Animalia	BROKE_WEST_RMT_020_RMT8_234721	Pleuragramma antarcticum	present	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554
BROKE_WEST_RMT_031_RMT8_BROKE_WEST_RMT_031_RMT8_217697	Electrona antarctica all	4	individuals		BROKE_WEST_RMT_031_RMT8	urn:lsid:marinespecies.org:taxname:217697	Species	Animalia	BROKE_WEST_RMT_031_RMT8_217697	Electrona antarctica	present	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554
BROKE_WEST_RMT_031_RMT8_BROKE_WEST_RMT_031_RMT8_217697_Larvae	Electrona antarctica Larvae	4	individuals	Larvae	BROKE_WEST_RMT_031_RMT8	urn:lsid:marinespecies.org:taxname:217697	Species	Animalia	BROKE_WEST_RMT_031_RMT8_217697_Larvae	Electrona antarctica	present	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554
BROKE_WEST_RMT_031_RMT8_BROKE_WEST_RMT_031_RMT8_234695	Notolepis coatsi	13	individuals		BROKE_WEST_RMT_031_RMT8	urn:lsid:marinespecies.org:taxname:234695	Species	Animalia	BROKE_WEST_RMT_031_RMT8_234695	Notolepis coatsi	present	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554
BROKE_WEST_RMT_034_RMT8_BROKE_WEST_RMT_034_RMT8_217697	Electrona antarctica all	4	individuals		BROKE_WEST_RMT_034_RMT8	urn:lsid:marinespecies.org:taxname:217697	Species	Animalia	BROKE_WEST_RMT_034_RMT8_217697	Electrona antarctica	present	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554
BROKE_WEST_RMT_034_RMT8_BROKE_WEST_RMT_034_RMT8_217697_Larvae	Electrona antarctica Larvae	4	individuals	Larvae	BROKE_WEST_RMT_034_RMT8	urn:lsid:marinespecies.org:taxname:217697	Species	Animalia	BROKE_WEST_RMT_034_RMT8_217697_Larvae	Electrona antarctica	present	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554
BROKE_WEST_RMT_034_RMT8_BROKE_WEST_RMT_034_RMT8_234695	Notolepis coatsi	3	individuals		BROKE_WEST_RMT_034_RMT8	urn:lsid:marinespecies.org:taxname:234695	Species	Animalia	BROKE_WEST_RMT_034_RMT8_234695	Notolepis coatsi	present	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554
BROKE_WEST_RMT_037_RMT8_BROKE_WEST_RMT_037_RMT8_217697	Electrona antarctica all	15	individuals		BROKE_WEST_RMT_037_RMT8	urn:lsid:marinespecies.org:taxname:217697	Species	Animalia	BROKE_WEST_RMT_037_RMT8_217697	Electrona antarctica	present	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554
BROKE_WEST_RMT_037_RMT8_BROKE_WEST_RMT_037_RMT8_217697_Larvae	Electrona antarctica Larvae	13	individuals	Larvae	BROKE_WEST_RMT_037_RMT8	urn:lsid:marinespecies.org:taxname:217697	Species	Animalia	BROKE_WEST_RMT_037_RMT8_217697_Larvae	Electrona antarctica	present	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554
BROKE_WEST_RMT_037_RMT8_BROKE_WEST_RMT_037_RMT8_217697_Postmeta	Electrona antarctica  Postmeta	2	individuals	Postmeta	BROKE_WEST_RMT_037_RMT8	urn:lsid:marinespecies.org:taxname:217697	Species	Animalia	BROKE_WEST_RMT_037_RMT8_217697_Postmeta	Electrona antarctica	present	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554
BROKE_WEST_RMT_037_RMT8_BROKE_WEST_RMT_037_RMT8_234695	Notolepis coatsi	10	individuals		BROKE_WEST_RMT_037_RMT8	urn:lsid:marinespecies.org:taxname:234695	Species	Animalia	BROKE_WEST_RMT_037_RMT8_234695	Notolepis coatsi	present	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554
BROKE_WEST_RMT_038_RMT8_BROKE_WEST_RMT_038_RMT8_217697	Electrona antarctica all	2	individuals		BROKE_WEST_RMT_038_RMT8	urn:lsid:marinespecies.org:taxname:217697	Species	Animalia	BROKE_WEST_RMT_038_RMT8_217697	Electrona antarctica	present	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554
