surveyID	surveyTargetValue	surveyTargetValueIRI	surveyTargetType	includeOrExclude	surveyTargetValueVocabulary	isSurveyTargetFullyReported
BROKE_WEST_RMT_001_S	Artedidraconidae	urn:lsid:marinespecies.org:taxname:151398	taxon	include	marinespecies.org	true
BROKE_WEST_RMT_001_S	Channichthyidae	urn:lsid:marinespecies.org:taxname:234518	taxon	include	marinespecies.org	true
BROKE_WEST_RMT_001_S	Macrouridae	urn:lsid:marinespecies.org:taxname:125471	taxon	include	marinespecies.org	true
BROKE_WEST_RMT_001_S	Myctophidae	urn:lsid:marinespecies.org:taxname:125498	taxon	include	marinespecies.org	true
BROKE_WEST_RMT_001_S	Nototheniidae	urn:lsid:marinespecies.org:taxname:151404	taxon	include	marinespecies.org	true
BROKE_WEST_RMT_001_S	Paralepididae	urn:lsid:marinespecies.org:taxname:125447	taxon	include	marinespecies.org	true
BROKE_WEST_RMT_002_S	Artedidraconidae	urn:lsid:marinespecies.org:taxname:151398	taxon	include	marinespecies.org	true
BROKE_WEST_RMT_002_S	Channichthyidae	urn:lsid:marinespecies.org:taxname:234518	taxon	include	marinespecies.org	true
BROKE_WEST_RMT_002_S	Macrouridae	urn:lsid:marinespecies.org:taxname:125471	taxon	include	marinespecies.org	true
BROKE_WEST_RMT_002_S	Myctophidae	urn:lsid:marinespecies.org:taxname:125498	taxon	include	marinespecies.org	true
BROKE_WEST_RMT_002_S	Nototheniidae	urn:lsid:marinespecies.org:taxname:151404	taxon	include	marinespecies.org	true
BROKE_WEST_RMT_002_S	Paralepididae	urn:lsid:marinespecies.org:taxname:125447	taxon	include	marinespecies.org	true
BROKE_WEST_RMT_003_S	Artedidraconidae	urn:lsid:marinespecies.org:taxname:151398	taxon	include	marinespecies.org	true
BROKE_WEST_RMT_003_S	Channichthyidae	urn:lsid:marinespecies.org:taxname:234518	taxon	include	marinespecies.org	true
BROKE_WEST_RMT_003_S	Macrouridae	urn:lsid:marinespecies.org:taxname:125471	taxon	include	marinespecies.org	true
BROKE_WEST_RMT_003_S	Myctophidae	urn:lsid:marinespecies.org:taxname:125498	taxon	include	marinespecies.org	true
BROKE_WEST_RMT_003_S	Nototheniidae	urn:lsid:marinespecies.org:taxname:151404	taxon	include	marinespecies.org	true
BROKE_WEST_RMT_003_S	Paralepididae	urn:lsid:marinespecies.org:taxname:125447	taxon	include	marinespecies.org	true
BROKE_WEST_RMT_004_S	Artedidraconidae	urn:lsid:marinespecies.org:taxname:151398	taxon	include	marinespecies.org	true
BROKE_WEST_RMT_004_S	Channichthyidae	urn:lsid:marinespecies.org:taxname:234518	taxon	include	marinespecies.org	true
BROKE_WEST_RMT_004_S	Macrouridae	urn:lsid:marinespecies.org:taxname:125471	taxon	include	marinespecies.org	true
BROKE_WEST_RMT_004_S	Myctophidae	urn:lsid:marinespecies.org:taxname:125498	taxon	include	marinespecies.org	true
BROKE_WEST_RMT_004_S	Nototheniidae	urn:lsid:marinespecies.org:taxname:151404	taxon	include	marinespecies.org	true
BROKE_WEST_RMT_004_S	Paralepididae	urn:lsid:marinespecies.org:taxname:125447	taxon	include	marinespecies.org	true
BROKE_WEST_RMT_005_S	Artedidraconidae	urn:lsid:marinespecies.org:taxname:151398	taxon	include	marinespecies.org	true
BROKE_WEST_RMT_005_S	Channichthyidae	urn:lsid:marinespecies.org:taxname:234518	taxon	include	marinespecies.org	true
BROKE_WEST_RMT_005_S	Macrouridae	urn:lsid:marinespecies.org:taxname:125471	taxon	include	marinespecies.org	true
BROKE_WEST_RMT_005_S	Myctophidae	urn:lsid:marinespecies.org:taxname:125498	taxon	include	marinespecies.org	true
BROKE_WEST_RMT_005_S	Nototheniidae	urn:lsid:marinespecies.org:taxname:151404	taxon	include	marinespecies.org	true
BROKE_WEST_RMT_005_S	Paralepididae	urn:lsid:marinespecies.org:taxname:125447	taxon	include	marinespecies.org	true
BROKE_WEST_RMT_006_S	Artedidraconidae	urn:lsid:marinespecies.org:taxname:151398	taxon	include	marinespecies.org	true
BROKE_WEST_RMT_006_S	Channichthyidae	urn:lsid:marinespecies.org:taxname:234518	taxon	include	marinespecies.org	true
BROKE_WEST_RMT_006_S	Macrouridae	urn:lsid:marinespecies.org:taxname:125471	taxon	include	marinespecies.org	true
BROKE_WEST_RMT_006_S	Myctophidae	urn:lsid:marinespecies.org:taxname:125498	taxon	include	marinespecies.org	true
BROKE_WEST_RMT_006_S	Nototheniidae	urn:lsid:marinespecies.org:taxname:151404	taxon	include	marinespecies.org	true
BROKE_WEST_RMT_006_S	Paralepididae	urn:lsid:marinespecies.org:taxname:125447	taxon	include	marinespecies.org	true
BROKE_WEST_RMT_007_S	Artedidraconidae	urn:lsid:marinespecies.org:taxname:151398	taxon	include	marinespecies.org	true
BROKE_WEST_RMT_007_S	Channichthyidae	urn:lsid:marinespecies.org:taxname:234518	taxon	include	marinespecies.org	true
BROKE_WEST_RMT_007_S	Macrouridae	urn:lsid:marinespecies.org:taxname:125471	taxon	include	marinespecies.org	true
BROKE_WEST_RMT_007_S	Myctophidae	urn:lsid:marinespecies.org:taxname:125498	taxon	include	marinespecies.org	true
BROKE_WEST_RMT_007_S	Nototheniidae	urn:lsid:marinespecies.org:taxname:151404	taxon	include	marinespecies.org	true
BROKE_WEST_RMT_007_S	Paralepididae	urn:lsid:marinespecies.org:taxname:125447	taxon	include	marinespecies.org	true
BROKE_WEST_RMT_008_S	Artedidraconidae	urn:lsid:marinespecies.org:taxname:151398	taxon	include	marinespecies.org	true
BROKE_WEST_RMT_008_S	Channichthyidae	urn:lsid:marinespecies.org:taxname:234518	taxon	include	marinespecies.org	true
